Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,hour,age,distance,amount_band,risk_score,risk_level
545220,2020-12-29 10:20:29,4355790796238264643,"fraud_Streich, Hansen and Veum",gas_transport,39.83,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,6fc3686a3b530a8331035f79d85db4da,1388312429,40.66756,-92.261083,0,10,57,1.3126750253924273,Medium,20,Low Risk
333043,2020-10-26 21:10:27,4467456915153312231,"fraud_Monahan, Hermann and Johns",travel,3.38,Rita,Myers,F,75703 Hernandez Corner Suite 348,Tampa,FL,33620,28.06,-82.4079,717255,Waste management officer,1966-09-16,40f71abaa267b655409a5cf588f05593,1382821827,28.154054,-82.029229,0,21,60,0.39017673067085606,Low,10,Low Risk
453077,2020-12-08 20:34:51,180048185037117,fraud_Cormier LLC,shopping_net,182.02,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,f8047067e682db7ae496bc192af65932,1386534891,41.42065,-74.129947,0,20,52,0.8544032509939341,Very High,40,Medium Risk
324628,2020-10-23 12:40:21,4005676619255478,"fraud_Hills, Hegmann and Schaefer",health_fitness,64.43,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,5eb75be07782cc386a61fbfc80c8521c,1382532021,31.204129,-91.379161,0,12,32,0.8844389810280856,High,0,Low Risk
474964,2020-12-14 07:06:57,4740713119940984,"fraud_Fadel, Mertz and Rippin",entertainment,142.56,Heather,Hines,F,13776 Hicks Plains,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16,6dab31fc8d950c71f2015e7325401515,1387004817,40.964914,-74.886884,0,7,64,0.8728325379200728,Very High,40,Medium Risk
21615,2020-06-28 21:39:10,4671727014157745,fraud_Schroeder Group,health_fitness,20.7,Kenneth,Edwards,M,3653 Ryan Crossroad,Andrews,IN,46702,40.8618,-85.6067,2304,Retail banker,1955-07-25,f0cf465992d61593b4fdf5dcedf76b33,1372455550,40.267751,-84.6315,0,21,71,1.1418884597021761,Medium,20,Low Risk
322267,2020-10-22 01:42:58,6517217825320610,fraud_Torphy-Goyette,shopping_pos,250.97,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",1958-06-11,676b23753bbf482232389b1a172805d6,1382406178,30.763152,-90.744715,0,1,68,1.0473658349063135,Very High,70,High Risk
411422,2020-11-30 08:29:24,38544312728630,fraud_Kilback LLC,grocery_pos,219.1,Veronica,Burton,F,08932 Bonnie Stravenue,Bonita Springs,FL,34135,26.3771,-81.7334,51427,Claims inspector/assessor,1991-08-21,9e1a8ee56e21ebb57c364ecfb989fb84,1385800164,26.992598,-81.931779,0,8,35,0.6466776752331906,Very High,40,Medium Risk
419219,2020-12-01 14:01:46,3575789281659026,fraud_Jast and Sons,food_dining,8.87,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,6c0cf8c57e0f75761bf230d938b7aa5e,1385906506,37.868566,-93.410584,0,14,37,1.029434171480625,Low,10,Low Risk
309577,2020-10-16 21:36:28,4229733778084049,fraud_O'Connell-Ullrich,home,12.88,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,fa90bb9874f769a62aec3f7d478d4a3c,1381959388,36.879451,-85.579605,0,21,36,0.8589909567777757,Medium,20,Low Risk
